,U_Mass Score,C_V Score
0,-6.513185802089422,0.49713700300062524
1,-6.559677160760467,0.4924027423193133
2,-6.563710611865936,0.4919908732008469
3,-6.475132570664444,0.48959207591579745
4,-6.599051979515803,0.48841218607083103
5,-6.6331723204402415,0.4977219003573029
6,-6.8917463376277865,0.48969938463017404
7,-6.838166697287024,0.49402136459462614
8,-7.010552605361983,0.49211789859393307
9,-7.1197265759534965,0.4925726695806572
10,-7.072174210308638,0.49606229235004456
11,-6.99501464545703,0.5053286140003528
12,-6.788296929937351,0.5099618656593304
13,-6.588478275375218,0.5193784836521197
14,-6.623570957818255,0.5170701827405911
15,-6.567537949827697,0.519334111689402
16,-6.431363300734194,0.5219774610452583
17,-6.4735861051361185,0.5166055091699081
18,-6.472008233160625,0.5166055091699081
