,U_Mass Score,C_V Score
0,-9.319266093099062,0.4280511297948237
1,-9.316700151481212,0.4280511297948237
2,-9.342537432984633,0.42788077484570847
3,-9.18111962462722,0.42248457339203016
4,-9.040644575831536,0.42576216613728673
5,-9.238480722249667,0.42746988281119375
6,-9.218762415448587,0.42610351889742787
7,-9.303578772972621,0.4282279983317083
8,-9.345355348953658,0.4268425263812169
9,-9.376383902051636,0.4276761899435316
10,-9.483626997681197,0.42002118196782734
11,-9.294090824929205,0.42839644461953363
12,-9.367126995052898,0.43713867994501704
13,-9.61126311004627,0.43993597526753697
14,-9.644804093789443,0.44366451290688114
15,-9.686712687422235,0.4466205488871955
16,-9.804797567661977,0.43885615108941134
17,-9.743493308876802,0.4398921379779065
18,-9.73999603121081,0.4398921379779065
