"1604440787055284231","Sun Dec 18 11:37:47 +0000 2022","0","pendidikan biaya hidup nikah mahal bgt","1604440787055284231","","","in","","0","0","0","https://x.com/garzillaaa_/status/1604440787055284231","1683101996","garzillaaa_"
"1604429327419858945","Sun Dec 18 10:52:15 +0000 2022","1","betul kata presma dan mensos bem turunkan biaya pendidikan","1604429327419858945","","","in","","0","1","0","https://x.com/nasshruddin/status/1604429327419858945","1210072691455098880","nasshruddin"
"1604393853108510720","Sun Dec 18 08:31:17 +0000 2022","0","Visioner bgt sihh jd orang anak masih 1 tahun udah mikirin biaya pendidikan yukk mangat!!","1604393853108510720","","","in","Otw Success","0","0","0","https://x.com/Affisme/status/1604393853108510720","304490981","Affisme"
"1604387369251385346","Sun Dec 18 08:05:31 +0000 2022","0","Biaya Sekolah Pramugari Naik Setiap Tahun - Pendidikan Pramugari https://t.co/k3zG0HGpwQ","1604387369251385346","","","in","","0","0","0","https://x.com/PutriPramugari/status/1604387369251385346","3104531706","PutriPramugari"
"1604374076910235648","Sun Dec 18 07:12:42 +0000 2022","0","Biaya kerugian hidup karena tidak berpendidikan - lebih tinggi daripada biaya pendidikan.","1604374076910235648","","","in","","0","0","0","https://x.com/MelodiJunita/status/1604374076910235648","2367782203","MelodiJunita"
"1604345742444834816","Sun Dec 18 05:20:06 +0000 2022","0","Biaya Sekolah Pramugari Naik Setiap Tahun - Pendidikan Pramugari https://t.co/k3zG0HogiI","1604345742444834816","","","in","","0","0","0","https://x.com/PutriPramugari/status/1604345742444834816","3104531706","PutriPramugari"
"1604323006020718592","Sun Dec 18 03:49:46 +0000 2022","1","[𝐏𝐄𝐌𝐁𝐀𝐘𝐀𝐑𝐀𝐍 𝐔𝐊𝐓 𝐒𝐄𝐌𝐄𝐒𝐓𝐄𝐑 𝐆𝐄𝐍𝐀𝐏 𝐓𝐀 𝟐𝟎𝟐𝟐/𝟐𝟎𝟐𝟑] Halo masyarakat agribisnis Terdapat info terkait peraturan rektor mengenai pembiayaan biaya pendidikan/ Uang Kuliah Tunggal (UKT) semester genap tahun angkatan 2022/2023. https://t.co/32L9mTAHg6","1604323006020718592","https://pbs.twimg.com/media/FkOzFd5aAAAehUd.jpg","","in","Jalan SWK 104, DIY 55283","0","1","0","https://x.com/HIMAGRIUPNVYK/status/1604323006020718592","719685968","HIMAGRIUPNVYK"
"1604290784840544256","Sun Dec 18 01:41:44 +0000 2022","0","Alhamdulillah 2 hari yang lalu proses pemberian SK PIP dari jalur aspirator melalui DPR RI Mohammad Haerul Amri Fraksi Partai Nasdem Proses pencairan PIP berjalan lancar Semoga meringankan beban dari masyarakat untuk biaya pendidikan. #pip #DPR #pendidikan #nasdem #indonesia https://t.co/aNYTg8vD8i","1604290784840544256","https://pbs.twimg.com/media/FkOV776aMAEev4D.jpg","","in","ÜT: -7.9712183,112.6593879","0","1","0","https://x.com/ellyasaditawan/status/1604290784840544256","68490272","ellyasaditawan"
"1604230558187261952","Sat Dec 17 21:42:24 +0000 2022","0","Biaya kerugian hidup karena tidak berpendidikan - lebih tinggi daripada biaya pendidikan","1604230558187261952","","","in","","0","0","0","https://x.com/sarikumala437/status/1604230558187261952","2369859097","sarikumala437"
"1604180814941802496","Sat Dec 17 18:24:45 +0000 2022","0","PSPP YOGYAKARTA (Cara Pendaftaran &amp; Biaya Pendidikan PSPP Jogja) - https://t.co/vwdqTd9NrH #PSPPyogyakarta","1604180814941802496","","","in","Daerah Istimewa Yogyakarta","0","0","0","https://x.com/erseth13/status/1604180814941802496","75614330","erseth13"
"1604179639513280512","Sat Dec 17 18:20:04 +0000 2022","0","Biaya Sekolah Pramugari Naik Setiap Tahun - Pendidikan Pramugari https://t.co/k3zG0HGpwQ","1604179639513280512","","","in","","0","0","0","https://x.com/PutriPramugari/status/1604179639513280512","3104531706","PutriPramugari"
"1604171468505776128","Sat Dec 17 17:47:36 +0000 2022","0","Biaya pendidikan semakin mahal kualitas pendidikan juga belum banyak berubah dana banyak sekali tapi lahan basah semua chakkz","1604171468505776128","","","in","Ponorogo, Indonesia","0","0","0","https://x.com/galsetsas/status/1604171468505776128","82537604","galsetsas"
"1604132433258942465","Sat Dec 17 15:12:30 +0000 2022","0","Biaya kerugian hidup karena tidak berpendidikan - lebih tinggi daripada biaya pendidikan.","1604132433258942465","","","in","","0","0","0","https://x.com/MelodiJunita/status/1604132433258942465","2367782203","MelodiJunita"
"1604129263602765824","Sat Dec 17 14:59:54 +0000 2022","0","Biaya pendidikan kedokteran itu mahalnya pake bangett jujur. Pendaftaran awal bisa sampe up 300jt di kampus aku. Dulu adek aku juga sempet mau masuk kedokteran... tapi mungkin dia ngerasa ngga enak karna emang kondisi lagi ga stabil dan dia juga ngga lulus di ptn","1604129263602765824","","","in","","0","1","0","https://x.com/starcoffeea/status/1604129263602765824","1290586207068418048","starcoffeea"
"1604102049469038592","Sat Dec 17 13:11:46 +0000 2022","0","Rezka menyalurkan bantuan renovasi rumah &amp; biaya pendidikan agar warga bisa hidup lebih layak. https://t.co/Y6QPCzSnEW #AHYPimpinPerubahan","1604102049469038592","https://pbs.twimg.com/media/FY02K6XUEAIEX_l.jpg","","in","Jakarta","0","0","0","https://x.com/CeritaAHY_/status/1604102049469038592","518598645","CeritaAHY_"
