,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
210,1608759683422248960,Fri Dec 30 09:39:32 +0000 2022,1,presiden jokowi resmi cabut bijak ppkm,1608759683422248960,,,in,"Jakarta, Indonesia",0,0,0,https://twitter.com/abadikinicom/status/1608759683422248960,1554019722,abadikinicom
211,1608759670189207553,Fri Dec 30 09:39:29 +0000 2022,0,presiden jokowi umum bijak ppkm resmi cabut,1608759670189207553,,,in,,0,0,0,https://twitter.com/bicaranetwork/status/1608759670189207553,1388237336924737537,bicaranetwork
212,1608759326306635778,Fri Dec 30 09:38:07 +0000 2022,2,presiden ri joko widodo jokowi resmi cabut bijak laku batas giat masyarakat ppkm putus umum presiden jokowi istana merdeka jakarta jumat desember ikon,1608759326306635778,,,in,,0,0,1,https://twitter.com/digoindo/status/1608759326306635778,1272108072501014529,digoindo
213,1608758395997229057,Fri Dec 30 09:34:25 +0000 2022,0,presiden jokowi baru cabut bijak ppkm indonesia bagaimana dampak atur sektor terbang wajib booster,1608758395997229057,,,in,Boyolali,0,0,0,https://twitter.com/WinJGR/status/1608758395997229057,349358100,WinJGR
214,1608758080438951937,Fri Dec 30 09:33:10 +0000 2022,1,presiden joko widodo resmi cabut bijak laku batas giat masyarakat ppkm mulai hari jumat alas,1608758080438951937,,,in,Jakarta,0,0,1,https://twitter.com/kompascom/status/1608758080438951937,23343960,kompascom
215,1608757928223469568,Fri Dec 30 09:32:34 +0000 2022,0,usaha dukung bijak stop ekspor bauksit,1608757928223469568,https://pbs.twimg.com/media/FlN0zxUaUAAS3vC.jpg,,in,"Pontianak, Kalimantan Barat",0,0,0,https://twitter.com/Buk4nlord_gaben/status/1608757928223469568,2348862607,Buk4nlord_gaben
216,1608757902927626240,Fri Dec 30 09:32:27 +0000 2022,0,usaha dukung bijak stop ekspor bauksit,1608757902927626240,https://pbs.twimg.com/media/FlN0yRgacAA-l-C.jpg,,in,,0,0,0,https://twitter.com/Asia20252085/status/1608757902927626240,1581911383393726465,Asia20252085
217,1608757896137035780,Fri Dec 30 09:32:26 +0000 2022,0,usaha dukung bijak stop ekspor bauksit,1608757896137035780,https://pbs.twimg.com/media/FlN0x7uaYAAliJ6.jpg,,in,Kalimantan Barat,0,0,0,https://twitter.com/Araceli57116552/status/1608757896137035780,1581911359947567104,Araceli57116552
218,1608757881930936321,Fri Dec 30 09:32:22 +0000 2022,0,eropa china kabar jadi negara dampak atas bijak joko widodo sebut,1608757881930936321,,,in,,0,0,0,https://twitter.com/ZamanEd88873856/status/1608757881930936321,1402838347970613250,ZamanEd88873856
219,1608756926699163649,Fri Dec 30 09:28:35 +0000 2022,0,terap bijak beli bbm subsidi meggunaan qr code mypertamina daerah perlu menujukkannya tugas diponsel cetak pertamina,1608756926699163649,https://pbs.twimg.com/media/FlNzaLdaEAIFG8C.jpg,,in,bandung,0,0,4,https://twitter.com/niaherandeh/status/1608756926699163649,1080782652112662528,niaherandeh
