"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1752320439597322728","Tue Jan 30 13:18:43 +0000 2024","0","Mark ga ada capeknya anjir sehat-sehat ya markleee chenle definisi sosial butterfly ","1752320439597322728","","","in","","0","0","0","https://twitter.com/haichansyg/status/1752320439597322728","261198884","haichansyg"
"1752297239190618324","Tue Jan 30 11:46:32 +0000 2024","2","salah. 1. pesan yang biasa saja mengirimkan pesan yang tidak bermakna. 2. cinta alam dan kasih sayang sesama manusia 3. keadilan sosial bagi seluruh rakyat indonesia 4. sehat 5. naik haji bila mampu","1752297239190618324","","","in","hati yang sedang bermimpi","1","3","2","https://twitter.com/kanindraryant/status/1752297239190618324","1046248332568363008","kanindraryant"
"1752231282535440589","Tue Jan 30 07:24:27 +0000 2024","23","Saya ditegur tadi malam setelah LIVE. Katanya saya banyak marahnya saat LIVE Mungkin benar begitu karena tugas saya mengajari hal sehat untuk orang #Indonesia yang sudah puluhan tahun diajari Pabrik Obat dengan informasi yang salah melalui media sosial jadi terlalu ","1752231282535440589","","","in","Jakarta, Indonesia","0","3","0","https://twitter.com/DokterAwetMuda/status/1752231282535440589","1750058956033294336","DokterAwetMuda"
"1752168570266783754","Tue Jan 30 03:15:15 +0000 2024","10","8 Cara Menjaga Otak Tetap Sehat Saat Menua. Stimulasi Mental Latihan Fisik Memperbaiki Pola Makan dan puasa Menjaga Tekanan Darah Jaga Emosi Bangun Jejaring Sosial Lindungi Kepala Hindari Tembakau ... https://t.co/uMmVCNU22D https://t.co/lqGskhTvju","1752168570266783754","https://pbs.twimg.com/ext_tw_video_thumb/1752168537253462016/pu/img/kPyg41cZuncs1J3E.jpg","","in","Aceh, Indonesia","1","2","2","https://twitter.com/Aceh/status/1752168570266783754","9688522","Aceh"
"1752156078664814875","Tue Jan 30 02:25:37 +0000 2024","1","Kami mengajak seluruh lapisan masyarakat terutama pengguna media sosial untuk turut berperan aktif dalam menciptakan lingkungan digital yang sehat dan kondusif. Iptu Wahyuddin Kasatgas Humas Polres Ternate @DivHumas_Polri @Spripim_Polri #pemiluaman #polripresisi https://t.co/KeKbKjOJa8","1752156078664814875","https://pbs.twimg.com/media/GFDoqFNbMAAyJCx.jpg","","in","Maluku Utara, Indonesia","0","0","0","https://twitter.com/HumasResTernate/status/1752156078664814875","950548150359441408","HumasResTernate"
"1751933546741260637","Mon Jan 29 11:41:21 +0000 2024","3","jadi ngaca ke diri sendiri. kalau toh nanti setelah diuji dan terbukti bahwa saya belum cukup layak aman belum cukup sehat secara fisik mental spiritual/religiusitas sosial dan finansial. saya ga apa² kalo ga punya anak atau bahkan ga apa² kalo ga nikah/hidup berpasangan.","1751933546741260637","","","in","","0","0","0","https://twitter.com/Rez_iko/status/1751933546741260637","1033184764444868608","Rez_iko"
"1751916976556138574","Mon Jan 29 10:35:30 +0000 2024","0","Lingkungan yang sehat menciptakan landasan bagi pembangunan sosial dan ekonomi yang berkelanjutan . Ganjar Pranowo terbukti mensejahterakan @widywonka #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/ucagm3NPwt","1751916976556138574","https://pbs.twimg.com/ext_tw_video_thumb/1751916872638119936/pu/img/FSTom_biyFw6tMAv.jpg","","in","Sibolga","0","0","0","https://twitter.com/sarah_retna/status/1751916976556138574","1681892151238733824","sarah_retna"
"1751909214900146453","Mon Jan 29 10:04:40 +0000 2024","0","Keamanan yang profesional menjadi alat untuk memelihara ketertiban sosial dan lingkungan yang sehat . Kesejahteraan berlipat ganda Indonesia Makmur Sentosa @willbenjerseu #GanjarMahfud2024 #GanjarPresidenRakyat #KratonBersamaRakyat https://t.co/9JMaRgNjUR","1751909214900146453","https://pbs.twimg.com/ext_tw_video_thumb/1751909111921610752/pu/img/YZLdKQjJrQJ0WTva.jpg","","in","Prabumulih","0","0","0","https://twitter.com/dikareynu_/status/1751909214900146453","1686051058848788480","dikareynu_"
"1751873797848961135","Mon Jan 29 07:43:56 +0000 2024","17","Dulur Makmur Baznas Kabupaten Sukoharjo melakukan Penyerahan Bantuan Sosial Program Sukoharjo Peduli Sukoharjo Cerdas Sukoharjo Makmur dan Sukoharjo Sehat bertempat di Lobi Kantor Bupati Sukoharjo Kamis (29/01/2024). https://t.co/wU5QRth4ys","1751873797848961135","https://pbs.twimg.com/ext_tw_video_thumb/1751872888502890496/pu/img/PKsgvd5KhN0moSM7.jpg","","in","Jl. Jend Sudirman 199Sukoharjo","0","1","0","https://twitter.com/sukoharjo_kab/status/1751873797848961135","3410236934","sukoharjo_kab"
"1751807835732902062","Mon Jan 29 03:21:49 +0000 2024","46","Keluarga ini memiliki vibes yang bagus. Menandakan mentalitas yang sehat. Senyum selalu mereka tebarkan ke sesama tanpa melihat latar belakang sosial. Pun dengan Alam Ganjar anak muda yang sederhana tidak manja terdidik. #BantuAlamGanjar https://t.co/SO6O3nhXXS","1751807835732902062","https://pbs.twimg.com/media/GE-r7tBboAAg4Jy.jpg","","in","Di Hatimu! ","0","1","10","https://twitter.com/NgkongRoses/status/1751807835732902062","2650421658","NgkongRoses"
